fileNam	objNam	objNum	location	objLocRating_avg	objLocRating_SD	objRating_avg	objRating_SD
1_1.png	microwave	1	1	91.9166666666667	7.96345821026686	99.25	1.16189500386223
2_1.png	kitchen roll	2	1	66.4166666666667	27.9775207383833	98.125	2.47361072119281
3_1.png	saucepan	3	1	37	38.6933456811375	96.5833333333333	7.54431353183752
4_1.png	toaster	4	1	2.83333333333333	26.0651427517032	99.1666666666667	1.43759057685652
5_1.png	fruit bowl	5	1	63.75	25.7201283045011	90.4583333333333	13.5484470204768
6_1.png	tea pot	6	1	66.5	29.7174191342384	97.0416666666667	3.86463667977556
7_1.png	knife	7	1	-8.41666666666667	52.0751060168548	99.2916666666667	1.12268279877562
8_1.png	mixer	8	1	60.5833333333333	34.5284906514413	96.7083333333333	5.6400723990625
9_1.png	bread	9	1	16.9583333333333	41.0975719071902	98.875	2.10802039838328
10_1.png	glass jug	10	1	71.5833333333333	33.6053071205527	88.2916666666667	18.3850596046536
11_1.png	mug	11	1	57.4166666666667	38.6065624818717	93.5416666666667	14.8487513504223
12_1.png	dishes	12	1	87.6666666666667	22.7934566634082	95.2083333333333	11.0186395106958
13_1.png	towels	13	1	18.2083333333333	72.0288859879609	18.4583333333333	75.6770137932693
14_1.png	toy	14	1	-7.04166666666667	26.1282493991975	13.5833333333333	50.341997046866
15_1.png	pile of books	15	1	-1.45833333333333	35.3484146273446	3.91666666666667	41.1790804495033
16_1.png	umbrella	16	1	-8.04166666666667	60.3240036524986	-5.375	74.6037448791949
17_1.png	hat	17	1	-11.375	33.3993824793214	-27.7916666666667	53.3651142289292
18_1.png	helmet	18	1	-4.375	51.9381242441427	-46.8333333333333	68.3042214410403
19_1.png	calendar	19	1	50.625	20.130045951264	39.4583333333333	41.0759712808677
20_1.png	fan	20	1	14.6666666666667	45.8406660800938	39.0416666666667	28.0345397084858
1_2.png	microwave	1	2	60.25	34.9177605238366	99.25	1.16189500386223
2_2.png	kitchen roll	2	2	82	8.46020094324006	98.125	2.47361072119281
3_2.png	saucepan	3	2	87.8333333333333	22.1481752446261	96.5833333333333	7.54431353183752
4_2.png	toaster	4	2	69.3333333333333	30.2632890920116	99.1666666666667	1.43759057685652
5_2.png	fruit bowl	5	2	63.8333333333333	42.6496385291443	90.4583333333333	13.5484470204768
6_2.png	tea pot	6	2	75.5833333333333	26.8605969156805	97.0416666666667	3.86463667977556
7_2.png	knife	7	2	81.375	22.2400258543015	99.2916666666667	1.12268279877562
8_2.png	mixer	8	2	63.25	30.5331786750086	96.7083333333333	5.6400723990625
9_2.png	bread	9	2	54.9166666666667	37.535871731807	98.875	2.10802039838328
10_2.png	glass jug	10	2	53.625	26.1876640806316	88.2916666666667	18.3850596046536
11_2.png	mug	11	2	74.3333333333333	22.4942585267145	93.5416666666667	14.8487513504223
12_2.png	dishes	12	2	75.8333333333333	33.7204191353943	95.2083333333333	11.0186395106958
13_2.png	towels	13	2	16.125	73.8797587299796	18.4583333333333	75.6770137932693
14_2.png	toy	14	2	-13.9583333333333	43.7525475448764	13.5833333333333	50.341997046866
15_2.png	pile of books	15	2	-9.16666666666667	33.3630284396766	3.91666666666667	41.1790804495033
16_2.png	umbrella	16	2	-0.708333333333333	57.9146822201993	-5.375	74.6037448791949
17_2.png	hat	17	2	1.20833333333333	45.5355401490601	-27.7916666666667	53.3651142289292
18_2.png	helmet	18	2	-23.375	62.201235920197	-46.8333333333333	68.3042214410403
19_2.png	calendar	19	2	25.3333333333333	49.4215708640131	39.4583333333333	41.0759712808677
20_2.png	fan	20	2	26.5	29.7657521322744	39.0416666666667	28.0345397084858
1_3.png	microwave	1	3	47.2916666666667	51.9743726914204	99.25	1.16189500386223
2_3.png	kitchen roll	2	3	65.9166666666667	27.6819736772266	98.125	2.47361072119281
3_3.png	saucepan	3	3	61.2083333333333	28.9937133990572	96.5833333333333	7.54431353183752
4_3.png	toaster	4	3	69.4166666666667	27.7406140282919	99.1666666666667	1.43759057685652
5_3.png	fruit bowl	5	3	82.9166666666667	35.4586613772526	90.4583333333333	13.5484470204768
6_3.png	tea pot	6	3	70.9583333333333	25.4751921811528	97.0416666666667	3.86463667977556
7_3.png	knife	7	3	78.9166666666667	26.6076430122374	99.2916666666667	1.12268279877562
8_3.png	mixer	8	3	61.375	35.9063887073039	96.7083333333333	5.6400723990625
9_3.png	bread	9	3	60.9166666666667	35.3813745728832	98.875	2.10802039838328
10_3.png	glass jug	10	3	58	27.7015342535391	88.2916666666667	18.3850596046536
11_3.png	mug	11	3	89.9583333333333	13.1685388964253	93.5416666666667	14.8487513504223
12_3.png	dishes	12	3	64.375	32.1324407725277	95.2083333333333	11.0186395106958
13_3.png	towels	13	3	10.875	67.9626275978203	18.4583333333333	75.6770137932693
14_3.png	toy	14	3	13.8333333333333	44.8613605084227	13.5833333333333	50.341997046866
15_3.png	pile of books	15	3	25.8333333333333	49.6391142816496	3.91666666666667	41.1790804495033
16_3.png	umbrella	16	3	-8.95833333333333	58.1917985343868	-5.375	74.6037448791949
17_3.png	hat	17	3	4.33333333333333	57.9768632013381	-27.7916666666667	53.3651142289292
18_3.png	helmet	18	3	-22.1666666666667	60.4935258243944	-46.8333333333333	68.3042214410403
19_3.png	calendar	19	3	19.4583333333333	39.406667160097	39.4583333333333	41.0759712808677
20_3.png	fan	20	3	39.9583333333333	34.5624133513079	39.0416666666667	28.0345397084858
1_4.png	microwave	1	4	-53.4583333333333	39.4792403253491	99.25	1.16189500386223
2_4.png	kitchen roll	2	4	-32.3333333333333	43.9367917202277	98.125	2.47361072119281
