92	6.5	-9	-10.25	-12	-41.25	-4.25	53.25	12.25	-65.5	-3.25	-41	-87.5	-80	-24.25	-31	-15.25	-53.75	-19.5	5.5
34	77.75	26.75	-35	-6.25	-22.75	83.25	16.5	38	-28.5	-28	-16	-38.75	11.5	-11.25	-6.25	40.5	11.75	8.75	37
16.5	43	29.75	-58.5	-21.25	-58	55	23.75	9.25	-52.5	-10	-42.25	88.5	34.25	5.5	-48	50.5	34.25	28	15.5
15.5	17	57	-45.75	-56.5	-45.25	-14.5	-6.25	35.5	-40.25	-6.5	-46	-64	-35	-39.5	-49.5	15.5	-53.25	24.25	11.5
81.25	-16.5	10.75	-47	70.25	-3.75	-20.75	79.25	53.25	-46.25	-13.25	-25.5	-75.25	-8.75	19.25	-25.5	45.5	41.25	29.75	-13.75
42.75	30.25	32.75	-36.5	-12	-25.25	57.75	40.5	26	-46.75	3.5	-23	-14.75	16	18.75	-30	60.5	60.75	15.75	30
-11.75	48	25	-30.5	-53.5	-44.5	18.5	-8.25	-38.25	-42.5	-38	-34.5	0	76.75	-53.5	-36.5	22.25	20	60.25	72.75
9.25	9	12	-30.75	-19.5	-55.75	-18.5	15	-12	-65.5	-3.25	-43.5	-74.75	-14.75	-8.25	-31.75	-17.75	-15	7.25	14.25
24.75	8.75	60	-48	-15	-13.75	-24.75	6.25	13.25	100	-21.25	-20.25	-46.75	-49.25	-37.5	-50.5	32.75	32	24	2
8.25	18	29	-35.25	38.5	-12.75	5.75	26	60.5	-41.25	13.75	-57.25	-77	19.5	45	-7.5	19.25	33.75	17.5	27.5
16.25	47	72.75	-25.5	-6.25	-21	51.25	-100	40.75	-66.5	-20.5	-29.75	-35.25	21.5	11	-40.75	28.75	85.75	82.5	22
41.5	10	8.75	-27	-10	-37.5	42.75	20.5	34.25	-76.5	-6.5	-29.25	-38.5	6.75	23.5	-48.75	14.5	50.75	47.75	20.25
10.5	-33.75	-17.25	-44	-17.25	-39.5	-24	1.75	18	-28.75	6.5	-34.75	-74.5	-22.5	15	-42.25	17	-4.5	4	-9.75
-13	-18.25	10.25	31	40.25	43.25	-10.25	-21.25	6.5	-22.5	10.5	31	-57.5	-9.25	52.25	25.25	52.75	16	3.75	-5.5
-6	-12.75	18.25	-12.25	41.25	19.75	-7.5	11	-26.25	-43.5	23.75	10.25	-88.25	-42.5	21.75	-32.5	22	76	31.75	-18.5
-21.25	-22	-28.5	-28.75	-10.5	-5	-37	-9.25	-12.5	-53.5	-21.5	-31	-69	-6.5	13.5	-32	13.25	-28.75	9.5	-19.5
-23.25	-57.25	10.5	-38.25	5.5	-34.25	-41.75	-30	-15.5	-34	-36.25	-16.25	-94.75	-16.25	-8.25	-13	5	11.5	43.75	-33
-12.25	-7	-4	-28.75	30.5	-10	-22.25	-2.75	-18	-32.75	4.5	-26	-77.5	-10.5	-27.25	-41.75	9	36.25	14.5	-12.5
73.25	-50.5	-23.25	-12	64.5	-44	-11.75	19.25	24.25	-38.5	14.25	-19.25	0	-16.5	38.5	-30.25	31.5	61.25	11	-31.75
32.5	4.75	-3.25	-21.5	88.5	-47.25	-33.25	57.25	34	-63	2.5	-58.75	-91.25	-61.5	10.25	-38.5	52.75	8.25	-6.5	-31
