95.5	90	95.75	-100	38.5	-98.75	53.5	96	89.5	-100	22.75	-100	-100	57.5	-0.25	-99	67.5	-58.75	70.75	78.25
95	88.75	91.25	-0.5	53	-80.25	82.25	96.25	88.25	-76	64.5	-29.75	-96.5	94.5	65.5	-63	90.25	80.5	96.5	81.5
82.5	93.75	90.25	-96.75	-27.5	-95.75	97.5	92.5	98.75	-100	89.5	-80	100	92.25	98	-53	75.75	80.25	96.25	96.5
29.75	100	94	-98.5	27.5	-100	35.25	74.25	76.75	-100	-49.5	-97.5	-100	-28.75	26.5	-95.75	62.25	22	94.25	29.25
94.75	94	98.5	-94.75	70.25	-59.75	92.5	100	96.75	0	68.25	-65.5	-98.75	86	97	-98.5	98.25	98.5	99.5	71.25
95.25	96.75	94	-100	41.75	-98.25	70.75	100	98	-97.25	80.5	-96.25	27.5	92.75	95.75	-100	96.5	98.25	93.25	100
89.25	96.5	94	-97.5	-32	-95.25	93	79	58.25	-99	41.25	-38.75	-30.5	98.5	85.5	-47.75	92.25	94	98.5	98.5
94.5	91.5	96.75	-91.5	39.5	-100	82.75	98	72.25	-99	48.25	-100	-99.5	78	91	-99.5	18	80.25	100	96.25
87	97.25	81.25	-100	-23.5	-99.25	61.5	100	95.25	-98.75	44	-80.25	-80.5	77.75	80.5	-100	98.5	91.25	95	84.75
95	59.5	91.5	-94	80.5	-75	70.5	88.5	98.25	-96.25	95.5	-98.25	-100	80	92.75	-87.5	96	93.5	92.5	83.5
94.5	97.5	98.5	-87.5	23.75	-50.75	98.5	100	94.5	-89	97.5	-76	-93.25	99.25	86.25	-100	99.25	98.5	92.5	98.75
96.5	97	97	-96.5	-27.5	-73	98.75	100	100	-99.5	91.5	-78	-96.5	88.25	93	-93.5	96.75	97.5	97.5	96.5
93.5	77.75	90.75	-88.5	36.5	-44.5	85.5	72.5	86	-26.5	0	-51.5	-50	76	93.25	-62.25	39.75	42.5	62.75	84.25
33.25	-28	-20.75	71.5	31.25	85	-54.75	-23.25	35.75	-65.75	55.75	-53.5	-100	-73.75	34.25	13	-30	-31.75	-42.75	-27.5
61.5	44.5	74	-71.25	41.5	60.75	41.5	69	66.75	-79	87	-35.5	-94.75	-31.25	91.5	-48.75	87.75	68.5	57.25	51.25
26	17.5	-18.75	-68.25	64.5	-20.5	5.5	-38.5	28.5	-91	43.5	-35.25	-94.5	-17.75	68.25	-24.25	23.25	58.75	0	17.5
32	44.5	50.75	-61.75	-48.75	-58.25	-47	-35.25	-32.5	-66.75	50	-61.75	-85.75	-33.5	16	-62	-51.5	-60.25	41.25	-29
59.5	-24.5	-60	-55.25	41	-71.25	-32.5	33.25	40.5	-37	33.5	-77	-100	20.5	20	-59.75	45.5	13.25	29.5	15.5
60.5	28.25	16	-91	22.75	-84.5	-61.5	60.5	53	-91.5	61.5	-80.75	-99.5	30	64.75	-64.5	61	52.25	47.5	31.5
49.5	48.25	74	-59	94.5	-42	70.5	79.25	56.75	-96.5	18.75	-100	-100	19.5	67.25	-82.5	90	39.5	72.5	67.25
