76.75	37.5	74.5	-16.5	-26.25	-72.25	20	90.5	100	-100	-100	-100	-90.25	-51	-34.5	-66.5	-22.5	87.5	28.25	-64.5
92.5	68	56.25	14	14.5	-62	68.75	86	50	25.5	-86	29.25	-97.75	47.75	31	-16.75	99.5	63.5	81.75	91.5
36.5	100	48.5	-72	96.25	-84	36.75	35.5	17.25	-95.75	-52.75	-44.75	100	51.5	36.5	-99	43	26.75	60.75	75
17.25	51.5	100	-81	-100	-66.25	12	74.25	12.5	-100	-91.25	-74.75	-86.5	-12.75	-12	-61.75	28.5	-55.5	19.5	36.5
31	66.25	100	-70.5	7	-100	-14.5	7.5	18	-90.75	-39.75	-16.5	-75.5	9	-27.25	-100	92.5	93.25	100	6.25
18.5	56.75	51.75	-100	18.75	-100	6.5	32.25	50.5	-100	-54.5	-39.25	23.25	-44	-29.5	-100	28.25	12.25	60.75	27
-58	58	91	-69.25	-81.75	-94.5	14.5	5.5	-29.75	-92.5	-50.75	-95.25	-100	100	-38	-79.75	59.5	90.75	40.25	29.5
27.25	47	45.25	-100	11.5	-84	28.5	29.75	47.5	-100	-45.5	-100	-71	30	-86.5	-87.5	12.25	-18.75	85.5	25
-35.5	29.5	21.75	-95.75	-100	-100	48.5	8.5	-13.75	-94.5	-100	-100	-79.75	16.75	-79	-93.75	58.75	42.5	75.25	21.5
100	34.25	35.25	-93.5	12	-93.75	32.5	53.75	71.75	-93.5	-100	-11	-100	9.5	24.5	-100	27.75	40.5	75.75	53.75
49.5	49	95	-93.5	5.5	-78.5	81.5	73	35.5	-94.5	-46.5	-65.5	-58	45.25	28.25	-82.5	71.5	98.75	100	45.25
100	71	84.5	-100	-16	-75.5	90.75	54.5	85.5	-100	-46.5	-26.25	-32.5	66.5	64.5	-81	96.25	100	52.25	35.5
86.25	77	70.5	-75.5	-21.5	-72	97.5	88.5	80.75	38.75	-13.5	8.5	-50.75	57	81	-92.5	98.75	39.25	75.5	82.25
8.75	-60.5	6	24.5	44.5	7.5	-29.5	-24.25	26.25	-96	21.25	-73.25	-99.75	-100	98.25	13.5	49.5	-32.75	35.5	-16.5
-0.5	8.5	28.5	-69	91.5	-49.25	-13	17.5	13	-91.25	100	-24.5	-83	-18.75	100	6.5	28.75	37.25	40	29.5
-11.75	5.75	5	-33.5	0	4.25	5.5	23	10.5	-99	2	-8	-100	-5.75	10.25	-90	18.5	3.5	15.75	-19.5
-23	-10.75	18.25	-20.5	65.5	-31	-9.5	7.25	-7.5	-77.75	-71.75	-31.75	-92	3.5	-13.75	0	8.5	13.5	10.75	-17.25
-27.75	-12.75	11	-37.5	8.75	10.5	-20.25	-5	-41.5	-100	-24.5	-18	-100	-9	-27	-58.75	9.75	5	22.75	-4.5
46.5	26.75	11.5	-68.75	79.25	-85.5	-13.5	55.25	31	-100	-52.5	-24.75	-100	-43	78.5	-72.25	82.25	23	19.5	-5.5
5.5	5.25	17.25	-61	13.5	-85	-23	25.5	7.75	-66.5	-86.75	-45.5	-88.25	-69.75	-37	-85.25	65	2.5	29.75	7.5
