99.75	53.75	-27.5	-55.5	-20.5	-4.25	-82.5	95.5	100	-7.75	-47.5	-24	-100	-54.25	-17.5	-3.5	-16.25	-9.75	0	-3.5
59	80	47.5	-71.25	-8.5	-16.5	71	88.5	39.5	0.25	-4.25	7.75	-83.75	100	52.5	-68.75	98.5	99.5	100	84.25
71.25	100	30.5	-19.25	-11.5	-2.5	83.5	73.5	94	-6.25	-13.5	-6.25	100	82.25	-9.5	-4.5	13.5	44	80.5	100
-9	83.5	23.5	-90	-75.25	-63.75	-42.25	-40.75	-75.5	-20	-37	-85.5	-100	-48	-96	-41.25	-36.5	-7.5	22.5	14.25
39.75	54.75	93.5	-100	-24	-86	-10.5	-6	45.5	17.5	-75.25	-6.75	-100	-6.5	-12	-72.25	99	100	87.5	-3.75
72.5	80.5	81	-82.25	-19.5	-44.75	21.75	33.25	96.5	-8	-14.5	-44.5	42.75	58	21.75	-20	95.5	76.25	59.5	100
-4.5	94.75	88.75	-5.5	-56.25	-28.75	99.5	-17.5	-4.75	-58.25	-59.75	-2.75	-80.75	68	-19.5	-23.5	57.25	62	36.75	76.75
68.5	78	34	-82.25	-38.5	-40	35.5	76.5	16.75	-28.25	-8.75	-24.75	-100	-4.75	-3.25	-42.25	11.25	-9.5	22.5	8.5
-7.5	30.25	14.75	-100	-6.5	-97.5	-9	7.5	-20.25	-4.5	-89	-73.5	-94.75	-3.75	-61.5	-100	62	32.25	72	23.5
87.5	55.5	35.5	-56.5	16.75	-46.5	13	91.5	97	-6.25	-3.5	-27.25	-100	10.5	75.5	-31	50	38.75	10.75	94.5
99.5	69.75	73.5	-65.25	-15.5	-50.25	83.75	100	99.75	-5.5	-20	-11.75	-31.75	83	4	-56.5	100	75.5	91.5	31.25
98.75	98.5	45.5	-30.75	-4.25	-30.5	94.25	100	100	-17.25	-6.5	-2.75	-31	86.5	38.5	-64.5	90.5	71	100	86.75
36.5	75.75	4.5	-93	-25.5	-26.5	60	22.25	73.75	-54.5	-83.5	7.5	-91.25	43	25	-12.5	15.5	24.5	34.5	80.25
-44.75	-21.75	-23	28.5	-6.5	64.5	-16	-27	2.5	28	9.5	33.5	-100	-26.5	40	2.5	21.25	17.5	-12.5	-36.5
-48	-11.5	-18.5	-84	14.5	-58.75	-58.75	-27.5	-2.75	10.75	6	9.75	-100	-33.75	98.5	-4.75	22.5	-7	-31	-90.25
-23.5	20	0.25	34.75	-12	-8.75	-17	-40.75	-24.25	-3	-42	8	-96.5	-17.5	52.5	25.25	65.75	24.75	16	-2.5
-49.5	-10	-26.25	-94.5	6.75	-91.5	-46.5	-36.25	-17.5	-65.5	-69.25	-5.25	-100	-34.25	-4.75	-75.5	3.75	21.75	-7.5	-10.25
27.75	-81	-64	-81.25	7.5	-36	-5	-17.25	-21.5	-18.5	-76	-10.25	-100	-5.25	-16.25	-77	-5.5	-73.25	-6.75	-5.5
13.75	-7	-17.5	-96.75	11.75	-59.5	-34	46	14	17	-84.25	-40.25	-100	-46.25	72.75	-7.75	33.5	70.75	21	-23.5
-14.5	-5.75	13.25	11.5	51.5	7.25	-8.5	-5.25	-2.5	-2.75	-86	-86.5	-100	-50.75	16.5	-8.5	-4.75	11.25	39.25	-21.25
